v_63,v_64,v_65,v_66,v_67,v_68,v_69,v_70,v_178,v_179,v_92,v_93,v_94,v_95,v_96,v_97,v_98,v_99,v_180,v_181,v_100,v_101,v_102,v_103,v_104,v_105,v_106,v_107,v_182,v_183,v_116,v_117,v_118,v_119,v_120,v_121,v_122,v_123,v_184,v_185,v_124,v_125,v_126,v_127,v_128,v_129,v_130,v_131,v_186,v_187,plz1,succ,labour,sh_famlab,fulltime,age,master,uaa,sh_grassland,organic,cows,milkyield,sh_rent
0,1,1,0,0,0,0,0,0,0,1,-77,-77,1,0,0,0,0,0,0,-77,-77,-77,-77,0,0,0,1,0,0,-77,-77,-77,-77,0,0,0,-77,0,1,-77,-77,-77,-77,1,0,0,-77,0,-77,9,1,3,1,1,28,1,60,33,0,80,8000,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,-77,0,-77,-77,-77,1,0,0,1,0,-77,0,-77,-77,-77,-77,0,0,-77,1,-77,0,-77,-77,-77,-77,8,1,3,.83333331,1,55,1,50,50,0,65,8000,50
1,0,0,0,0,0,1,0,1,0,-77,0,0,0,1,0,-77,0,-77,1,-77,0,0,0,-77,1,-77,1,-77,-77,-77,0,0,1,-77,-77,-77,-77,-77,-77,-77,1,1,-77,-77,-77,-77,-77,-77,-77,8,1,2.5,1,1,39.5,0,70,65,0,78,9000,80
0,0,1,0,0,0,0,1,1,0,0,0,-77,0,0,0,0,-77,-77,1,0,0,-77,1,0,0,0,-77,-77,-77,0,1,-77,-77,0,0,0,-77,-77,-77,0,-77,-77,-77,1,0,1,-77,-77,-77,8,1,2,.5,1,63,0,40,45,0,55,6363.636363636364,5
0,0,1,1,0,0,0,1,1,1,0,0,-77,-77,0,0,1,-77,-77,-77,0,0,-77,-77,1,0,-77,-77,-77,-77,0,0,-77,-77,-77,0,-77,-77,-77,-77,0,0,-77,-77,-77,0,-77,-77,-77,-77,9,1,2.5,1,1,60,1,150,30,0,45,7500,20
1,1,0,1,1,0,0,1,1,1,-77,-77,0,-77,-77,0,1,-77,-77,-77,-77,-77,0,-77,-77,0,-77,-77,-77,-77,-77,-77,0,-77,-77,1,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,-77,-77,-77,-77,8,1,2,1,0,49,0,28,100,1,25,8000,5
1,1,1,1,1,0,0,1,1,1,-77,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,1,-77,-77,-77,8,1,2,1,1,63,0,47,60,1,37,6300,50
0,0,1,0,1,0,0,0,1,0,0,0,-77,0,-77,0,1,1,-77,0,0,1,-77,0,-77,0,-77,-77,-77,1,0,-77,-77,1,-77,0,-77,-77,-77,-77,0,-77,-77,-77,-77,0,-77,-77,-77,-77,8,1,1.5,1,1,32,1,32,75,0,68,8088.235294117647,35
0,1,0,1,0,0,0,0,1,0,1,-77,0,-77,1,0,1,0,-77,1,-77,-77,0,-77,-77,0,-77,0,-77,-77,-77,-77,0,-77,-77,0,-77,0,-77,-77,-77,-77,0,-77,-77,0,-77,1,-77,-77,8,1,2.5,.98000002,1,29,1,100,50,0,100,6800,70
0,0,0,1,0,0,0,0,1,0,0,1,0,-77,1,0,0,0,-77,0,0,-77,0,-77,-77,0,0,0,-77,0,0,-77,0,-77,-77,0,0,1,-77,1,1,-77,0,-77,-77,0,1,-77,-77,-77,9,1,2.25,1,1,41,0,114,50,0,120,10000,40
0,0,1,0,0,0,0,0,1,1,0,0,-77,0,0,0,0,1,-77,-77,0,0,-77,0,1,0,1,-77,-77,-77,0,1,-77,0,-77,0,-77,-77,-77,-77,0,-77,-77,1,-77,0,-77,-77,-77,-77,8,1,1.5,1,1,38,1,110,60,0,80,8000,85
0,0,0,1,0,0,0,0,1,1,0,1,1,-77,1,0,0,1,-77,-77,0,-77,-77,-77,-77,0,0,-77,-77,-77,1,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,0,-77,-77,-77,8,1,1.5,1,1,27,1,70,30,0,80,8000,60
0,1,0,1,1,0,0,1,0,0,0,-77,1,-77,-77,0,0,-77,0,0,0,-77,-77,-77,-77,1,1,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,1,0,-77,-77,-77,-77,-77,-77,-77,1,-77,8,1,3.5,1,1,57,0,51,60,0,50,7500,50
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,-77,0,1,0,-77,-77,0,0,-77,-77,-77,0,-77,0,-77,-77,0,1,-77,-77,-77,1,-77,1,-77,-77,0,-77,-77,-77,-77,9,1,2.8,1,1,52,0,92,45,0,90,10300,70
0,0,1,0,0,0,0,0,0,1,0,1,-77,1,1,0,0,0,1,-77,0,-77,-77,-77,-77,0,0,1,-77,-77,0,-77,-77,-77,-77,0,1,-77,-77,-77,1,-77,-77,-77,-77,0,-77,-77,-77,-77,8,1,2.75,.9818182,1,49,0,50,75,0,74,8175.675675675676,45
1,1,0,0,1,0,0,0,0,0,-77,-77,0,0,-77,0,0,0,0,0,-77,-77,1,0,-77,0,0,0,0,0,-77,-77,-77,1,-77,0,0,0,0,0,-77,-77,-77,-77,-77,0,1,0,0,0,9,1,2.5,1,1,30,1,140,30,0,140,10000,60
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-77,-77,0,1,0,-77,1,0,0,0,-77,-77,1,-77,0,-77,-77,0,1,0,-77,-77,-77,-77,0,-77,-77,1,-77,0,-77,-77,-77,-77,9,1,1,1,0,46.5,0,28,40,0,25,6500,60
0,1,1,1,0,0,0,0,0,0,0,-77,-77,-77,1,1,0,0,1,1,0,-77,-77,-77,-77,-77,0,0,-77,-77,1,-77,-77,-77,-77,-77,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,8,1,2,1,1,36,1,70,40,0,75,7800,70
0,0,1,1,0,0,0,0,1,0,0,0,-77,-77,1,1,1,0,-77,0,0,0,-77,-77,-77,-77,-77,0,-77,1,0,1,-77,-77,-77,-77,-77,0,-77,-77,0,-77,-77,-77,-77,-77,-77,1,-77,-77,9,1,2.8,1,1,46,0,75,50,0,95,10100,65
1,0,0,0,0,0,0,1,0,0,-77,1,1,0,0,0,0,-77,0,0,-77,-77,-77,1,0,0,0,-77,0,0,-77,-77,-77,-77,0,0,0,-77,1,1,-77,-77,-77,-77,0,0,0,-77,-77,-77,8,1,2,1,1,22,1,19.5,100,0,19,6800,40
1,0,1,0,0,0,0,1,0,1,-77,0,-77,0,0,0,0,-77,0,-77,-77,0,-77,0,0,0,0,-77,0,-77,-77,1,-77,0,1,0,0,-77,0,-77,-77,-77,-77,1,-77,0,0,-77,0,-77,8,1,1.6,1,1,39,1,25,100,0,25,8500,60
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,-77,0,0,0,1,1,1,1,0,0,-77,1,1,1,-77,-77,-77,-77,0,1,-77,-77,-77,8,1,1,.40000001,1,25,0,50,50,0,24,8500,50
0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,-77,-77,-77,0,0,1,1,-77,0,0,-77,-77,-77,0,1,-77,-77,-77,0,0,-77,-77,-77,0,-77,-77,-77,-77,0,0,-77,-77,-77,8,1,1,1,0,59,0,20,4,0,22,8000,20
0,0,1,1,0,0,0,1,1,1,0,0,-77,-77,1,0,0,-77,-77,-77,0,0,-77,-77,-77,0,0,-77,-77,-77,0,0,-77,-77,-77,0,0,-77,-77,-77,0,1,-77,-77,-77,0,0,-77,-77,-77,8,1,2.25,1,1,40,0,50,20,0,42,9523.809523809523,35
1,1,1,1,0,0,1,1,1,1,-77,-77,-77,-77,1,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,8,1,2.5,.80000001,1,43,1,60,75,1,44,5600,50
0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,-77,-77,-77,0,-77,0,0,-77,0,0,-77,-77,-77,0,-77,0,1,-77,0,0,-77,-77,-77,0,-77,0,-77,-77,0,0,-77,-77,-77,8,1,3,1,1,36,0,17.56,70,0,24,5000,40
0,1,0,1,0,0,0,0,1,0,0,-77,1,-77,1,0,1,0,-77,1,0,-77,-77,-77,-77,0,-77,0,-77,-77,0,-77,-77,-77,-77,1,-77,0,-77,-77,1,-77,-77,-77,-77,-77,-77,0,-77,-77,9,1,2,1,1,30,1,100,30,0,100,8000,60
0,0,0,1,0,0,0,0,1,1,0,0,0,-77,0,0,0,0,-77,-77,1,0,0,-77,0,0,0,1,-77,-77,-77,1,0,-77,0,0,0,-77,-77,-77,-77,-77,0,-77,1,0,0,-77,-77,-77,8,1,3,1,1,29,1,20,8,0,60,9000,0
1,0,0,1,0,0,0,1,0,1,-77,0,0,-77,1,0,0,-77,0,-77,-77,1,0,-77,-77,0,0,-77,0,-77,-77,-77,0,-77,-77,0,0,-77,1,-77,-77,-77,1,-77,-77,0,0,-77,-77,-77,8,1,3,1,0,60,0,25,100,0,35,8800,33
0,1,1,1,0,0,0,1,0,0,0,-77,-77,-77,0,0,0,-77,1,0,1,-77,-77,-77,1,0,0,-77,-77,1,-77,-77,-77,-77,-77,0,1,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,-77,9,1,1.5,1,1,37,1,120,15,0,75,7500,45
0,0,0,1,0,0,0,1,1,1,0,1,0,-77,1,0,0,-77,-77,-77,0,-77,1,-77,-77,0,0,-77,-77,-77,1,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,1,1,-77,-77,-77,8,1,1.3,1,1,36,1,95,25,0,50,8000,75
0,1,0,1,0,0,0,0,0,0,0,-77,0,-77,1,0,0,0,1,1,0,-77,1,-77,-77,0,0,0,-77,-77,0,-77,-77,-77,-77,0,0,0,-77,-77,1,-77,-77,-77,-77,0,1,0,-77,-77,8,1,2.7,.85185188,0,29,1,70,100,0,126,9500,60
1,0,0,1,1,0,0,1,1,1,-77,0,0,-77,-77,0,0,-77,-77,-77,-77,0,0,-77,-77,0,0,-77,-77,-77,-77,0,0,-77,-77,0,0,-77,-77,-77,-77,1,1,-77,-77,0,0,-77,-77,-77,8,1,1.9,1,1,60,1,50,100,1,15,7000,50
1,1,1,1,0,0,1,0,1,1,-77,-77,-77,-77,1,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,1,-77,-77,8,1,1.7,1,1,39,1,60,45,1,64,7580,80
0,1,1,1,0,0,0,0,1,0,0,-77,-77,-77,1,0,1,0,-77,0,0,-77,-77,-77,-77,0,-77,0,-77,1,0,-77,-77,-77,-77,0,-77,0,-77,-77,1,-77,-77,-77,-77,1,-77,0,-77,-77,8,1,2.3,1,1,64,1,92,15,0,80,8700,40
0,1,0,0,0,0,0,1,1,1,0,-77,1,0,1,0,0,-77,-77,-77,0,-77,-77,1,-77,0,0,-77,-77,-77,1,-77,-77,-77,-77,0,1,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,-77,8,1,2.5,1,1,56,1,30,40,0,35,9000,60
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-77,0,0,0,0,0,0,-77,0,0,-77,0,0,0,1,0,0,-77,0,0,-77,1,1,0,-77,1,0,-77,0,1,-77,-77,-77,9,1,2,1,1,29,1,62,30,0,53,8300,30
0,1,1,1,1,0,0,0,1,1,0,-77,-77,-77,-77,0,0,0,-77,-77,1,-77,-77,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,0,0,0,-77,-77,-77,-77,-77,-77,-77,1,0,0,-77,-77,8,1,3.5,.85714287,1,45,1,80,70,0,135,8500,60
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,-77,-77,0,0,0,0,-77,0,1,-77,-77,-77,0,0,0,0,-77,0,-77,-77,-77,-77,0,1,0,0,-77,0,-77,-77,-77,-77,9,1,2.6,1,1,37,1,83,55,0,65,8500,80
0,0,1,1,1,0,0,0,1,0,0,0,-77,-77,-77,0,0,0,-77,1,0,0,-77,-77,-77,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,0,0,-77,-77,-77,0,1,1,-77,-77,8,1,3,1,1,38,1,52,70,0,75,9500,80
0,0,0,1,0,0,0,0,0,1,0,1,0,-77,0,0,0,0,0,-77,0,-77,0,-77,0,0,0,0,0,-77,0,-77,0,-77,0,0,1,0,0,-77,0,-77,0,-77,0,0,-77,0,1,-77,9,1,2,1,1,65,0,70,65,0,70,7400,70
0,0,1,0,0,0,0,1,0,0,0,1,-77,1,1,0,0,-77,1,1,0,-77,-77,-77,-77,0,0,-77,-77,-77,1,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,0,-77,-77,-77,8,1,1.1,1,1,34,1,40,96,0,50,7700,25
1,0,0,1,0,0,0,1,0,0,-77,0,0,-77,1,0,0,-77,0,0,-77,0,0,-77,-77,0,0,-77,1,1,-77,0,0,-77,-77,1,1,-77,-77,-77,-77,1,1,-77,-77,-77,-77,-77,-77,-77,8,1,2,1,1,59,0,40,75,0,48,7500,50
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-77,-77,0,0,0,-77,0,0,1,0,-77,-77,0,0,0,-77,0,0,-77,0,-77,-77,0,1,0,-77,0,0,-77,0,-77,-77,1,-77,8,1,1.3,1,1,43,0,25,65,0,45,7500,50
0,0,0,1,1,0,0,0,1,0,0,0,1,-77,-77,0,0,0,-77,1,0,0,-77,-77,-77,0,0,0,-77,-77,0,0,-77,-77,-77,0,0,0,-77,-77,0,0,-77,-77,-77,0,1,1,-77,-77,9,1,2.5,.51999998,1,37,1,110,40,0,130,8000,60
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,-77,-77,-77,1,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,1,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,8,1,2,1,1,32,1,42,60,0,50,8300,60
0,1,1,1,0,0,0,0,1,0,0,-77,-77,-77,1,0,0,0,-77,0,0,-77,-77,-77,-77,0,0,0,-77,1,0,-77,-77,-77,-77,0,0,0,-77,-77,0,-77,-77,-77,-77,0,0,0,-77,-77,8,1,2.2,1,1,57,1,56,50,0,65,8923.076923076924,50
0,0,0,1,0,0,0,0,1,0,0,0,0,-77,1,0,1,0,-77,0,0,1,0,-77,-77,0,-77,0,-77,0,0,-77,0,-77,-77,0,-77,0,-77,0,0,-77,0,-77,-77,0,-77,0,-77,0,8,1,2.2,1,1,55,1,55,30,0,74,8200,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-77,0,0,0,0,0,0,-77,0,0,-77,0,0,0,1,1,0,-77,0,1,-77,0,0,0,-77,-77,8,1,2.3,1,0,51,0,45,53,0,68,8930,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-77,0,0,-77,0,1,0,0,-77,1,-77,0,1,-77,0,-77,0,0,-77,-77,-77,0,8,1,1.4,1,1,60,1,45,20,0,50,7500,20
0,1,1,1,0,0,0,0,1,1,0,-77,-77,-77,0,0,0,0,-77,-77,0,-77,-77,-77,0,0,0,0,-77,-77,0,-77,-77,-77,0,0,0,0,-77,-77,0,-77,-77,-77,0,0,0,0,-77,-77,9,1,1,1,0,39,0,25,80,0,60,9500,40
0,1,1,1,1,0,0,0,0,0,0,-77,-77,-77,-77,0,0,0,0,0,0,-77,-77,-77,-77,0,0,0,1,0,0,-77,-77,-77,-77,0,0,0,-77,1,1,-77,-77,-77,-77,0,0,1,-77,-77,8,1,2,1,1,42.5,1,50,80,0,70,10000,30
0,0,1,1,0,0,0,1,0,1,0,0,-77,-77,1,0,0,-77,1,-77,0,0,-77,-77,-77,0,0,-77,-77,-77,0,0,-77,-77,-77,0,0,-77,-77,-77,0,1,-77,-77,-77,0,0,-77,-77,-77,8,1,2,1,1,30,1,38,38,0,45,9000,70
0,0,0,0,1,0,1,1,0,0,0,0,0,0,-77,0,-77,-77,0,0,0,0,0,0,-77,0,-77,-77,0,0,0,0,0,1,-77,0,-77,-77,0,0,0,0,0,-77,-77,0,-77,-77,0,0,9,0,2.25,1,1,60,1,100,30,0,45,10000,75
1,0,0,0,0,1,1,1,0,1,-77,1,0,1,0,-77,-77,-77,0,-77,-77,-77,0,-77,0,-77,-77,-77,1,-77,-77,-77,1,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,-77,-77,3,0,.5,1,0,36,1,10,100,1,6,5000,50
0,1,1,1,0,0,0,0,0,0,0,-77,-77,-77,1,0,1,0,0,0,0,-77,-77,-77,-77,0,-77,0,1,1,1,-77,-77,-77,-77,1,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,8,1,2,1,1,40,1,65,77,0,80,8700,75
0,1,1,1,0,0,0,0,1,0,0,-77,-77,-77,1,0,1,0,-77,1,0,-77,-77,-77,-77,0,-77,1,-77,-77,0,-77,-77,-77,-77,0,-77,-77,-77,-77,0,-77,-77,-77,-77,0,-77,-77,-77,-77,9,1,3,1,1,58,0,127,55,0,78,7700,70
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-77,0,0,0,0,0,0,-77,0,1,-77,0,0,0,0,0,0,-77,0,-77,-77,0,1,0,0,0,0,-77,0,-77,-77,0,-77,8,1,1,1,1,50,0,25,80,0,35,,30
1,0,1,1,0,0,1,1,1,0,-77,0,-77,-77,1,0,-77,-77,-77,1,-77,0,-77,-77,-77,1,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,7,1,1.5,1,1,52,0,50,85,1,38,5263.157894736843,90
0,1,1,1,0,0,0,0,1,0,0,-77,-77,-77,1,0,0,0,-77,0,0,-77,-77,-77,-77,1,0,0,-77,0,0,-77,-77,-77,-77,-77,1,0,-77,1,1,-77,-77,-77,-77,-77,-77,0,-77,-77,7,1,6,.5,1,56,1,180,35,0,200,9650,60
1,0,1,1,0,0,0,1,1,1,-77,1,-77,-77,1,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,1,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,7,1,1.6,1,1,54,1,106,70,0,52,7200,77
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2.3,.86956519,1,37,1,85,35,0,75,8700,20
0,0,1,0,0,0,0,0,0,0,0,0,-77,0,1,0,0,0,0,0,0,0,-77,0,-77,0,0,0,1,0,0,0,-77,0,-77,0,0,1,-77,1,0,0,-77,1,-77,0,1,-77,-77,-77,8,1,2.5,1,1,45,1,55,60,0,75,5333.333333333333,70
1,0,1,1,0,0,0,0,1,1,-77,0,-77,-77,0,0,0,0,-77,-77,-77,0,-77,-77,0,0,0,0,-77,-77,-77,0,-77,-77,1,0,0,0,-77,-77,-77,0,-77,-77,-77,0,1,0,-77,-77,4,1,3,1,1,68,1,88,45,0,150,9000,60
1,1,1,1,1,0,0,0,0,0,-77,-77,-77,-77,-77,0,1,0,1,0,-77,-77,-77,-77,-77,0,-77,0,-77,1,-77,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,2,1,4,.5,1,55,1,170,45,0,210,9500,66
0,1,1,1,0,0,1,1,1,0,1,-77,-77,-77,1,1,-77,-77,-77,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,8,1,2,1,1,52,1,60,35,1,60,6000,10
1,1,1,1,0,0,1,0,1,1,-77,-77,-77,-77,1,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,0,-77,0,-77,-77,-77,-77,-77,-77,-77,1,-77,1,-77,-77,1,1,12,0,1,56,1,1100,20,1,320,7187.5,60
0,1,0,0,0,0,0,0,0,0,0,-77,0,0,1,0,0,0,1,0,1,-77,1,0,-77,0,0,0,-77,1,-77,-77,-77,1,-77,0,1,1,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,-77,-77,8,1,2.3,1,1,38,1,75,45,0,80,7800,65
0,0,1,1,0,0,0,0,1,1,0,1,-77,-77,1,0,0,1,-77,-77,0,-77,-77,-77,-77,0,0,-77,-77,-77,0,-77,-77,-77,-77,0,0,-77,-77,-77,1,-77,-77,-77,-77,0,0,-77,-77,-77,1,1,3,.66666669,1,43,1,320,40,0,150,10500,50
1,1,0,1,1,0,0,0,1,1,-77,-77,1,-77,-77,0,0,1,-77,-77,-77,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,0,-77,-77,-77,-77,-77,-77,-77,-77,0,1,-77,-77,-77,5,0,1.5,1,1,63,1,52,100,1,60,6000.001666666667,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,1,70,0,1200,30,0,1100,10000,8
1,0,1,1,0,0,0,0,0,1,-77,0,-77,-77,1,0,0,0,0,-77,-77,0,-77,-77,-77,0,0,1,0,-77,-77,1,-77,-77,-77,0,0,-77,1,-77,-77,-77,-77,-77,-77,0,0,-77,-77,-77,2,1,1.5,.66666669,1,44,1,60,50,0,70,10500,70
0,1,1,1,0,0,0,0,1,0,0,-77,-77,-77,0,0,0,0,-77,0,0,-77,-77,-77,0,0,0,0,-77,0,0,-77,-77,-77,0,0,0,0,-77,1,0,-77,-77,-77,1,0,0,0,-77,-77,2,1,2,1,1,35,0,100,65,0,230,8900,100
0,1,1,1,0,0,0,0,0,0,0,-77,-77,-77,1,0,0,0,0,0,0,-77,-77,-77,-77,0,0,0,0,0,0,-77,-77,-77,-77,0,0,0,1,0,1,-77,-77,-77,-77,0,0,0,-77,1,9,1,2.5,1,1,32,1,112,45,0,90,8888.888888888889,66
0,0,1,1,1,0,0,0,1,0,0,1,-77,-77,-77,0,1,0,-77,1,0,-77,-77,-77,-77,1,-77,0,-77,-77,1,-77,-77,-77,-77,-77,-77,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,1,-77,-77,8,1,2,1,1,52,1,42,55,0,70,8500,60
1,0,1,1,1,0,0,1,1,0,-77,0,-77,-77,-77,0,1,-77,-77,0,-77,0,-77,-77,-77,0,-77,-77,-77,0,-77,1,-77,-77,-77,0,-77,-77,-77,0,-77,-77,-77,-77,-77,0,-77,-77,-77,1,7,1,2.5,1,1,38,1,47,80,0,50,8200,75
1,1,1,0,0,0,0,0,0,0,-77,-77,-77,0,0,0,0,0,0,0,-77,-77,-77,0,0,0,0,0,0,0,-77,-77,-77,0,0,0,0,0,0,0,-77,-77,-77,0,0,0,0,0,0,0,2,0,2.9,.34482759,1,50,1,94,70,0,154,8311.688311688313,60
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-77,1,-77,0,0,0,0,1,1,-77,-77,-77,-77,0,0,0,1,-77,-77,-77,-77,-77,-77,0,1,0,-77,-77,3,1,2.5,1,1,59,1,100,30,0,90,11000,85
1,0,0,0,0,0,0,1,1,1,-77,0,0,0,0,0,0,-77,-77,-77,-77,0,0,0,0,0,1,-77,-77,-77,-77,0,0,0,1,0,-77,-77,-77,-77,-77,0,0,0,-77,0,-77,-77,-77,-77,2,1,2,1,1,47,1,60,50,0,40,9000,30
0,0,1,1,0,0,0,0,0,0,0,0,-77,-77,1,0,0,0,1,0,0,0,-77,-77,-77,0,0,0,-77,0,0,1,-77,-77,-77,0,0,1,-77,0,0,-77,-77,-77,-77,0,1,-77,-77,1,9,1,1.7,1,1,40,1,55,65,0,70,7857.142857142857,62
0,0,0,1,0,0,0,0,1,0,1,0,0,-77,1,0,0,0,-77,0,-77,0,0,-77,-77,0,1,0,-77,0,-77,0,0,-77,-77,0,-77,0,-77,0,-77,0,0,-77,-77,0,-77,0,-77,0,3,1,2,.5,1,51,1,79,44,0,95,8900,60
1,1,0,1,0,0,1,0,1,1,-77,-77,0,-77,1,0,-77,0,-77,-77,-77,-77,0,-77,-77,0,-77,0,-77,-77,-77,-77,0,-77,-77,0,-77,0,-77,-77,-77,-77,0,-77,-77,0,-77,0,-77,-77,2,0,1.4,.71428573,1,52,1,110,92,1,115,7500,65
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-77,-77,0,0,0,0,0,1,0,-77,-77,-77,0,1,0,0,0,-77,0,-77,-77,-77,0,-77,0,0,1,-77,0,-77,-77,-77,0,2,0,1.5,1,1,63,1,40,30,0,50,7000,40
